Modelo,Split,CV,MAE,RMSE,R²,Accuracy,F1-Score,AUC-ROC
Regresión Lineal (A),Temporal (corte 2020),TimeSeriesSplit (5 folds),8.271,10.684,0.2469,0.7003,0.5328,0.7714
Regresión Logística (B),Temporal (corte 2020),TimeSeriesSplit (5 folds),—,—,—,0.6751,0.5672,0.7632
