year,track_id,track_name,artist_name,album_name,release_date,release_year,explicit,popularity,duration_sec,artist_popularity,artist_genres,duration_min,release_month,years_since_release,genre_group
2024,26V1bLUk0SBYkLEwl4caPR,Clavaito,Chanel,Clavaito,2023-04-27,2023,0,61,162.734,50,bachata,2.7122333333333333,4.0,1,bachata
2024,4XniGfiHt9fFFnhbxlImVu,Trending Remix (with Myke Towers),Dei V,Quién es Dei V?,2024-06-14,2024,1,67,225.154,79,"trap latino, urbano latino",3.7525666666666666,6.0,0,trap latino
2024,3bE8SznOXJ990MK1ElQnfr,Algo Sencillito,Marta Santos,Poquito a Poquito,2023-10-05,2023,0,65,177.338,63,"flamenco, flamenco pop, flamenco urbano",2.955633333333333,10.0,1,flamenco
2024,6y8I3XvuyCTNTCYlqBf6yY,Martini,Dei V,Martini,2024-04-25,2024,1,47,164.365,79,"trap latino, urbano latino",2.7394166666666666,4.0,0,trap latino
2024,6fNCrsrdIcgVd2aZZ0nnz4,Según Quién,Maluma,Según Quién,2023-08-17,2023,1,71,142.334,84,"reggaeton, latin, urbano latino",2.3722333333333334,8.0,1,reggaeton
2024,4waqcUQWdj0yH26STWl2Rq,Rosas,La Oreja de Van Gogh,Lo Que Te Conte Mientras Te Hacias La Dormida,,2003,0,80,236.506,74,latin pop,3.9417666666666666,,21,latin pop
2024,57f0ili5EzdZlEaSKcEg8p,Tu Silueta,Diegote,Tu Silueta,2024-07-12,2024,0,60,170.48,50,,2.8413333333333335,7.0,0,unknown
2024,2SOvWt6igzXViIjIiWNWEP,BABY HELLO,Rauw Alejandro,BABY HELLO,2023-06-23,2023,1,67,222.461,89,"reggaeton, urbano latino, trap latino, latin",3.707683333333333,6.0,1,reggaeton
2024,18W8cuvcub2B9NQzm5rZxf,A 300,JC Reyes,A 300,2023-02-17,2023,0,63,169.208,77,,2.820133333333333,2.0,1,unknown
2024,2dcFfC6dq4E7jlaSzM6agR,Diabólica,Cris MJ,Diabólica,2023-11-08,2023,1,63,192.0,81,"reggaeton chileno, chilean trap, chilean mambo, reggaeton",3.2,11.0,1,reggaeton chileno
2024,35ttE4t8lQZA2vuCYDg4G7,M.A.I,Milo j,111,2023-11-30,2023,0,78,184.027,83,argentine trap,3.0671166666666667,11.0,1,argentine trap
2024,3r0dG5uiVRQroFsspyaBUy,TU$$I (with Dei V),YOVNGCHIMI,WLGS,2023-12-08,2023,1,69,163.2,68,"trap latino, urbano latino",2.72,12.0,1,trap latino
2024,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,Omar Courtz,PRIMERA MUSA,2024-09-20,2024,1,83,224.022,83,,3.7337,9.0,0,unknown
