year,popularity,duration_sec,artist_popularity,years_since_release,explicit,is_urbano_latino,is_lanzamiento_reciente,is_artista_top,genero_electronica,genero_flamenco_raices,genero_internacional,genero_otros,genero_pop_espanol,genero_rock_indie,genero_unknown,genero_urbano_latino,temporada_invierno,temporada_otono,temporada_primavera,temporada_sin_fecha,temporada_verano
2010,0.1662125580633042,0.4978223545123181,-0.3999129035874261,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2010,0.5298984375502752,0.06457006925256738,0.3979964708154106,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010,1.2053150708832214,-0.3109804443811665,0.7048846917395786,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2010,-0.45724894962864604,0.18845772892588342,-0.2157799710329253,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-0.7689797034746212,1.118214199104921,-0.46129054777225964,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2010,-0.5611592009106378,-0.2581686534014227,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010,-0.30138357270565846,0.6145461925388446,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2010,-0.7170245778336253,1.005744644240651,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-0.6131143265516336,0.0818561508371408,0.27524118244574347,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2010,-0.45724894962864604,-1.0816413942337255,-0.8909340570660949,-0.20923034147038305,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010,0.06230230678131251,-1.6373632447793733,-1.6888434314689316,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-2.171768095781509,0.18388559702161825,-1.5047104989144306,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2010,-1.3404860855255756,-0.6421788335532089,-1.2591999221750965,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2010,-1.3404860855255756,0.5953041186957618,-0.09302468266325811,1.1836795160712121,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010,-1.3924412111665714,-0.8166044432057517,-2.9163963151656036,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2010,-0.6131143265516336,0.8466491239141726,-1.4433328547295972,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2010,-0.7170245778336253,0.4678467731506672,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2010,-1.3924412111665714,-0.27315644408224815,-1.8729763640234323,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2010,0.21816768370430006,-0.19491675374188713,0.09110824989124267,0.4872245873004145,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010,-0.7689797034746212,0.5111964515798735,-1.32057756635993,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,-1.7561270906535424,1.5429823679433887,-0.46129054777225964,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010,-0.09356307014167506,1.2133976723846163,-1.8729763640234323,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,0.21816768370430006,0.9323949345465624,-0.6454234803267604,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,-0.3533386983466543,-0.28195840924553917,-0.6454234803267604,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,-2.6393642265504718,1.0875540204527916,-0.46129054777225964,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,0.21816768370430006,-0.2278507733945332,-0.15440232684809171,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2010,0.06230230678131251,-0.1570927534429688,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010,0.2701228093452959,2.929780879226292,0.8890176242940794,20.684417521653543,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2010,-0.09356307014167506,0.26994925639601597,-0.3999129035874261,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2010,-2.691319352191468,1.4953784063519249,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2010,-1.184620708602588,0.17887336685918925,-2.425375161686935,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-0.6650694521926295,-1.3672162639760446,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2010,-1.4443963368075672,0.37916697413051365,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-0.9768002060386046,-0.20371871890517743,-1.2591999221750965,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,-1.236575834243584,-0.7196605768933976,-1.0750669896205955,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,-0.19747332142366678,0.6833237703286682,-0.2157799710329253,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-1.548306588089559,1.523740294100305,-0.706801124511594,0.4872245873004145,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2010,-1.0287553316796005,0.045988142796731794,-1.013689345435762,-0.20923034147038305,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2010,-2.275678347063501,0.5229324051309282,-0.7681787686964276,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2010,0.3220779349862918,0.8567469339487257,0.3979964708154106,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010,-0.9768002060386046,1.358458948256292,-2.057109296577933,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2010,-0.19747332142366678,-0.20242287403391526,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2010,-0.4052938239876502,-0.005503353408518354,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2010,-0.509204075269642,0.769069580961058,-1.013689345435762,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-1.6522168393715506,1.3972609446844648,-0.8295564128812613,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2010,-0.7689797034746212,1.0976762803905755,0.27524118244574347,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2010,-0.09356307014167506,-0.5271175889464147,-0.8909340570660949,-0.20923034147038305,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2010,-0.7689797034746212,1.193299851928436,-1.4433328547295972,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2010,-1.6002617137305548,-0.44723975508955216,-1.013689345435762,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2010,0.9974945683192379,0.4417587264028028,0.7048846917395786,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2011,0.9455394426782421,0.8283850462003448,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2011,-0.09356307014167506,-0.31618827376944736,-0.2771576152177589,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2011,-0.4052938239876502,0.5519544402665555,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2011,-0.19747332142366678,1.2691434517521243,-0.3385352594025925,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2011,0.1662125580633042,-0.3914939757220447,0.09110824989124267,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2011,0.1662125580633042,-1.2768983214393896,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2011,-1.4963514624485632,0.38258996058290484,-1.5660881430992644,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011,-0.820934829115617,1.1808059513772102,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2011,-1.548306588089559,-0.4971175576815323,-2.5481304500566018,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2011,-0.30138357270565846,0.9832507332677975,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011,-1.8080822162945382,0.18591493898982134,-1.1364446338054293,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2011,0.5298984375502752,0.4710986102804387,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2011,0.11425743242230836,-0.36183624310240164,0.09110824989124267,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
